task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,6335,1051,7386,1,DEEPSEEK_V4_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12331,748,13079,1,DEEPSEEK_V4_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,10474,818,11292,1,DEEPSEEK_V4_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,7771,1618,9389,1,DEEPSEEK_V4_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14555,561,15116,1,DEEPSEEK_V4_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,20854,1502,22356,1,DEEPSEEK_V4_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14969,2198,17167,1,DEEPSEEK_V4_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,15227,800,16027,1,DEEPSEEK_V4_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,11107,593,11700,1,DEEPSEEK_V4_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,12408,374,12782,1,DEEPSEEK_V4_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,11829,1132,12961,1,DEEPSEEK_V4_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,10863,659,11522,1,DEEPSEEK_V4_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,14516,1218,15734,1,DEEPSEEK_V4_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,17446,627,18073,1,DEEPSEEK_V4_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,14650,1301,15951,1,DEEPSEEK_V4_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,25780,847,26627,1,DEEPSEEK_V4_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,28975,533,29508,1,DEEPSEEK_V4_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,30757,1121,31878,1,DEEPSEEK_V4_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,34738,1145,35883,1,DEEPSEEK_V4_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,39018,772,39790,1,DEEPSEEK_V4_PRO__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,26195,1008,27203,1,DEEPSEEK_V4_PRO__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,25645,1077,26722,1,DEEPSEEK_V4_PRO__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,28630,700,29330,1,DEEPSEEK_V4_PRO__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,27257,878,28135,1,DEEPSEEK_V4_PRO__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,13445,892,14337,1,DEEPSEEK_V4_PRO__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,32896,848,33744,1,DEEPSEEK_V4_PRO__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,19308,879,20187,1,DEEPSEEK_V4_PRO__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,33835,710,34545,1,DEEPSEEK_V4_PRO__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,15351,1092,16443,1,DEEPSEEK_V4_PRO__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,28725,1156,29881,1,DEEPSEEK_V4_PRO__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,18341,1635,19976,1,DEEPSEEK_V4_PRO__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,21548,971,22519,1,DEEPSEEK_V4_PRO__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,13814,643,14457,1,DEEPSEEK_V4_PRO__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,13130,1336,14466,1,DEEPSEEK_V4_PRO__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,13922,968,14890,1,DEEPSEEK_V4_PRO__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,28375,1054,29429,1,DEEPSEEK_V4_PRO__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,21514,812,22326,1,DEEPSEEK_V4_PRO__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,23431,811,24242,1,DEEPSEEK_V4_PRO__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,18704,925,19629,1,DEEPSEEK_V4_PRO__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,21216,844,22060,1,DEEPSEEK_V4_PRO__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,13712,1085,14797,1,DEEPSEEK_V4_PRO__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,16245,1086,17331,1,DEEPSEEK_V4_PRO__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,11916,808,12724,1,DEEPSEEK_V4_PRO__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,11419,712,12131,1,DEEPSEEK_V4_PRO__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,12201,572,12773,1,DEEPSEEK_V4_PRO__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,15279,1771,17050,1,DEEPSEEK_V4_PRO__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,12074,971,13045,1,DEEPSEEK_V4_PRO__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,10061,1748,11809,1,DEEPSEEK_V4_PRO__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,19111,643,19754,1,DEEPSEEK_V4_PRO__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,32023,830,32853,1,DEEPSEEK_V4_PRO__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,19188,948,20136,1,DEEPSEEK_V4_PRO__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,63622,855,64477,1,DEEPSEEK_V4_PRO__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,52177,646,52823,1,DEEPSEEK_V4_PRO__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,52115,830,52945,1,DEEPSEEK_V4_PRO__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,75050,778,75828,1,DEEPSEEK_V4_PRO__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,55236,831,56067,1,DEEPSEEK_V4_PRO__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,26910,923,27833,1,DEEPSEEK_V4_PRO__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,30058,656,30714,1,DEEPSEEK_V4_PRO__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,29973,1067,31040,1,DEEPSEEK_V4_PRO__T03_R01_C03_A02.judgment.json
T03_R01_C03_A03,ok,44283,790,45073,1,DEEPSEEK_V4_PRO__T03_R01_C03_A03.judgment.json
T03_R02_C01,ok,30386,675,31061,1,DEEPSEEK_V4_PRO__T03_R02_C01.judgment.json
T03_R02_C01_A01,ok,35181,470,35651,1,DEEPSEEK_V4_PRO__T03_R02_C01_A01.judgment.json
T03_R02_C01_A02,ok,31372,512,31884,1,DEEPSEEK_V4_PRO__T03_R02_C01_A02.judgment.json
T03_R02_C01_A03,ok,30811,1209,32020,1,DEEPSEEK_V4_PRO__T03_R02_C01_A03.judgment.json
T03_R02_C02,ok,13528,766,14294,1,DEEPSEEK_V4_PRO__T03_R02_C02.judgment.json
T03_R02_C02_A01,ok,24525,667,25192,1,DEEPSEEK_V4_PRO__T03_R02_C02_A01.judgment.json
T03_R02_C02_A02,ok,23738,952,24690,1,DEEPSEEK_V4_PRO__T03_R02_C02_A02.judgment.json
T03_R02_C02_A03,ok,36111,1276,37387,1,DEEPSEEK_V4_PRO__T03_R02_C02_A03.judgment.json
T03_R02_C03,ok,31389,725,32114,1,DEEPSEEK_V4_PRO__T03_R02_C03.judgment.json
T03_R02_C03_A01,ok,13745,1265,15010,1,DEEPSEEK_V4_PRO__T03_R02_C03_A01.judgment.json
T03_R02_C03_A02,ok,10274,925,11199,1,DEEPSEEK_V4_PRO__T03_R02_C03_A02.judgment.json
T03_R02_C03_A03,ok,34543,1422,35965,1,DEEPSEEK_V4_PRO__T03_R02_C03_A03.judgment.json
T04_R01_C01,ok,11692,1112,12804,1,DEEPSEEK_V4_PRO__T04_R01_C01.judgment.json
T04_R01_C01_A01,ok,13880,742,14622,1,DEEPSEEK_V4_PRO__T04_R01_C01_A01.judgment.json
T04_R01_C01_A02,ok,12152,659,12811,1,DEEPSEEK_V4_PRO__T04_R01_C01_A02.judgment.json
T04_R01_C01_A03,ok,17574,944,18518,1,DEEPSEEK_V4_PRO__T04_R01_C01_A03.judgment.json
T04_R01_C02,ok,10832,780,11612,1,DEEPSEEK_V4_PRO__T04_R01_C02.judgment.json
T04_R01_C02_A01,ok,15524,800,16324,1,DEEPSEEK_V4_PRO__T04_R01_C02_A01.judgment.json
T04_R01_C02_A02,ok,13189,1322,14511,1,DEEPSEEK_V4_PRO__T04_R01_C02_A02.judgment.json
T04_R01_C02_A03,ok,17163,1088,18251,1,DEEPSEEK_V4_PRO__T04_R01_C02_A03.judgment.json
T04_R01_C03,ok,12233,1053,13286,1,DEEPSEEK_V4_PRO__T04_R01_C03.judgment.json
T04_R01_C03_A01,ok,4870,976,5846,1,DEEPSEEK_V4_PRO__T04_R01_C03_A01.judgment.json
T04_R01_C03_A02,ok,9865,842,10707,1,DEEPSEEK_V4_PRO__T04_R01_C03_A02.judgment.json
T04_R01_C03_A03,ok,9944,1201,11145,1,DEEPSEEK_V4_PRO__T04_R01_C03_A03.judgment.json
T04_R02_C01,ok,12370,1288,13658,1,DEEPSEEK_V4_PRO__T04_R02_C01.judgment.json
T04_R02_C01_A01,ok,11623,2671,14294,1,DEEPSEEK_V4_PRO__T04_R02_C01_A01.judgment.json
T04_R02_C01_A02,ok,13647,448,14095,1,DEEPSEEK_V4_PRO__T04_R02_C01_A02.judgment.json
T04_R02_C01_A03,ok,10650,891,11541,1,DEEPSEEK_V4_PRO__T04_R02_C01_A03.judgment.json
T04_R02_C02,ok,12925,905,13830,1,DEEPSEEK_V4_PRO__T04_R02_C02.judgment.json
T04_R02_C02_A01,ok,12293,816,13109,1,DEEPSEEK_V4_PRO__T04_R02_C02_A01.judgment.json
T04_R02_C02_A02,ok,21303,2067,23370,1,DEEPSEEK_V4_PRO__T04_R02_C02_A02.judgment.json
T04_R02_C02_A03,ok,13861,1029,14890,1,DEEPSEEK_V4_PRO__T04_R02_C02_A03.judgment.json
T04_R02_C03,ok,13430,1563,14993,1,DEEPSEEK_V4_PRO__T04_R02_C03.judgment.json
T04_R02_C03_A01,ok,14622,651,15273,1,DEEPSEEK_V4_PRO__T04_R02_C03_A01.judgment.json
T04_R02_C03_A02,ok,10035,1069,11104,1,DEEPSEEK_V4_PRO__T04_R02_C03_A02.judgment.json
T04_R02_C03_A03,ok,13660,1152,14812,1,DEEPSEEK_V4_PRO__T04_R02_C03_A03.judgment.json
T05_R01_C01,ok,24146,564,24710,1,DEEPSEEK_V4_PRO__T05_R01_C01.judgment.json
T05_R01_C01_A01,ok,26948,1606,28554,1,DEEPSEEK_V4_PRO__T05_R01_C01_A01.judgment.json
T05_R01_C01_A02,ok,25913,573,26486,1,DEEPSEEK_V4_PRO__T05_R01_C01_A02.judgment.json
T05_R01_C01_A03,ok,26784,1135,27919,1,DEEPSEEK_V4_PRO__T05_R01_C01_A03.judgment.json
T05_R01_C02,ok,32302,802,33104,1,DEEPSEEK_V4_PRO__T05_R01_C02.judgment.json
T05_R01_C02_A01,ok,38805,1070,39875,1,DEEPSEEK_V4_PRO__T05_R01_C02_A01.judgment.json
T05_R01_C02_A02,ok,51018,848,51866,1,DEEPSEEK_V4_PRO__T05_R01_C02_A02.judgment.json
T05_R01_C02_A03,ok,54405,546,54951,1,DEEPSEEK_V4_PRO__T05_R01_C02_A03.judgment.json
T05_R01_C03,ok,4530,1209,5739,1,DEEPSEEK_V4_PRO__T05_R01_C03.judgment.json
T05_R01_C03_A01,ok,5160,1146,6306,1,DEEPSEEK_V4_PRO__T05_R01_C03_A01.judgment.json
T05_R01_C03_A02,ok,5166,1279,6445,1,DEEPSEEK_V4_PRO__T05_R01_C03_A02.judgment.json
