task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5157,814,5971,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,5629,1313,6942,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,5949,624,6573,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,2178,616,2794,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,10524,1004,11528,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,17274,2255,19529,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,13096,1421,14517,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,15083,1631,16714,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5662,1116,6778,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,9039,1341,10380,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12492,1200,13692,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,5828,855,6683,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,8766,1102,9868,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,14272,2647,16919,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,16886,1074,17960,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,6381,1014,7395,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,15623,770,16393,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,23238,2315,25553,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,22143,1008,23151,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,23501,1384,24885,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,16033,1330,17363,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,10837,900,11737,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,17738,895,18633,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,18913,1385,20298,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,12117,521,12638,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,14957,1138,16095,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,10980,883,11863,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,14272,1532,15804,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,17293,944,18237,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,16934,2152,19086,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,17855,1648,19503,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,15349,1663,17012,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,8546,598,9144,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,12098,643,12741,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,7433,1370,8803,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,11297,1824,13121,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,10210,857,11067,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,13135,1355,14490,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,6381,1123,7504,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,10831,1084,11915,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A03.judgment.json
