task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5539,635,6174,1,DEEPSEEK_V4_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,10527,599,11126,1,DEEPSEEK_V4_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,8953,750,9703,1,DEEPSEEK_V4_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,6377,606,6983,1,DEEPSEEK_V4_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,12918,606,13524,1,DEEPSEEK_V4_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,18150,877,19027,1,DEEPSEEK_V4_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,13184,1104,14288,1,DEEPSEEK_V4_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,13490,818,14308,1,DEEPSEEK_V4_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,9545,745,10290,1,DEEPSEEK_V4_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,10363,767,11130,1,DEEPSEEK_V4_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,9903,950,10853,1,DEEPSEEK_V4_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,8858,748,9606,1,DEEPSEEK_V4_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,12891,619,13510,1,DEEPSEEK_V4_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,15640,639,16279,1,DEEPSEEK_V4_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,12409,730,13139,1,DEEPSEEK_V4_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,20977,713,21690,1,DEEPSEEK_V4_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,25422,671,26093,1,DEEPSEEK_V4_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,26290,687,26977,1,DEEPSEEK_V4_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,29742,713,30455,1,DEEPSEEK_V4_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,33778,820,34598,1,DEEPSEEK_V4_PRO__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,21132,636,21768,1,DEEPSEEK_V4_PRO__T01_R02_C03.judgment.json
