task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,8782,1011,9793,1,MIMO_V2_5_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,10074,2287,12361,1,MIMO_V2_5_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,9112,1086,10198,1,MIMO_V2_5_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5420,1230,6650,1,MIMO_V2_5_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,15943,739,16682,1,MIMO_V2_5_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,10802,981,11783,1,MIMO_V2_5_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,12773,1798,14571,1,MIMO_V2_5_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,13600,1568,15168,1,MIMO_V2_5_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,6935,847,7782,1,MIMO_V2_5_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,8826,2587,11413,1,MIMO_V2_5_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,11238,1931,13169,1,MIMO_V2_5_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,12913,1542,14455,1,MIMO_V2_5_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10546,669,11215,1,MIMO_V2_5_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,9751,1766,11517,1,MIMO_V2_5_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,6371,1159,7530,1,MIMO_V2_5_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,9049,1518,10567,1,MIMO_V2_5_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,20559,811,21370,1,MIMO_V2_5_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,17299,1679,18978,1,MIMO_V2_5_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,18476,1183,19659,1,MIMO_V2_5_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,21231,2038,23269,1,MIMO_V2_5_PRO__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,9912,1261,11173,1,MIMO_V2_5_PRO__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,14133,1291,15424,1,MIMO_V2_5_PRO__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,15276,862,16138,1,MIMO_V2_5_PRO__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,9903,1814,11717,1,MIMO_V2_5_PRO__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,10473,968,11441,1,MIMO_V2_5_PRO__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,12823,3973,16796,1,MIMO_V2_5_PRO__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,10829,736,11565,1,MIMO_V2_5_PRO__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,10270,942,11212,1,MIMO_V2_5_PRO__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,22019,1073,23092,1,MIMO_V2_5_PRO__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,14429,1533,15962,1,MIMO_V2_5_PRO__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,17001,1902,18903,1,MIMO_V2_5_PRO__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,18697,1901,20598,1,MIMO_V2_5_PRO__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,10648,1113,11761,1,MIMO_V2_5_PRO__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,11186,944,12130,1,MIMO_V2_5_PRO__T02_R01_C03_A01.judgment.json
