task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5459,748,6207,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,5951,862,6813,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6283,979,7262,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,2078,1107,3185,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,11212,518,11730,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,18808,836,19644,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14526,1103,15629,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,16851,794,17645,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5966,871,6837,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,10268,500,10768,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,13796,730,14526,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,6170,978,7148,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,9268,934,10202,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,15255,1035,16290,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,19065,878,19943,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,6777,825,7602,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,16613,1064,17677,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,25601,2091,27692,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,25156,832,25988,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,25588,1073,26661,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,17164,782,17946,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,11497,950,12447,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,19446,949,20395,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,20704,1076,21780,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,13621,1025,14646,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01.judgment.json
