task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,6129,1073,7202,1,MIMO_V2_5__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12616,1139,13755,1,MIMO_V2_5__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6171,848,7019,1,MIMO_V2_5__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,10136,1310,11446,1,MIMO_V2_5__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,10933,1167,12100,1,MIMO_V2_5__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,13336,774,14110,1,MIMO_V2_5__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,10775,1235,12010,1,MIMO_V2_5__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,13627,1131,14758,1,MIMO_V2_5__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5864,1071,6935,1,MIMO_V2_5__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,8205,1076,9281,1,MIMO_V2_5__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,7772,1070,8842,1,MIMO_V2_5__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,5248,825,6073,1,MIMO_V2_5__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10693,786,11479,1,MIMO_V2_5__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,10996,1580,12576,1,MIMO_V2_5__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,8108,886,8994,1,MIMO_V2_5__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,6423,1240,7663,1,MIMO_V2_5__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,11518,931,12449,1,MIMO_V2_5__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,17473,914,18387,1,MIMO_V2_5__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,22988,957,23945,1,MIMO_V2_5__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,20435,916,21351,1,MIMO_V2_5__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,10241,952,11193,1,MIMO_V2_5__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,10119,1261,11380,1,MIMO_V2_5__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,24998,747,25745,1,MIMO_V2_5__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,15089,1050,16139,1,MIMO_V2_5__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,8312,1097,9409,1,MIMO_V2_5__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,10465,1706,12171,1,MIMO_V2_5__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,11807,383,12190,1,MIMO_V2_5__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,10343,837,11180,1,MIMO_V2_5__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,21748,309,22057,1,MIMO_V2_5__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,18152,783,18935,1,MIMO_V2_5__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,16057,775,16832,1,MIMO_V2_5__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,30012,1543,31555,1,MIMO_V2_5__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,6324,1498,7822,1,MIMO_V2_5__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,10352,807,11159,1,MIMO_V2_5__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,7475,1192,8667,1,MIMO_V2_5__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,5836,1098,6934,1,MIMO_V2_5__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,14245,1044,15289,1,MIMO_V2_5__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,9910,503,10413,1,MIMO_V2_5__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,5724,442,6166,1,MIMO_V2_5__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,11675,752,12427,1,MIMO_V2_5__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,10912,1315,12227,1,MIMO_V2_5__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,11241,947,12188,1,MIMO_V2_5__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,13237,2987,16224,1,MIMO_V2_5__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,9066,778,9844,1,MIMO_V2_5__T02_R02_C02_A03.judgment.json
