task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5813,893,6706,1,DEEPSEEK_V4_FLASH__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12164,1504,13668,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,7159,585,7744,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5992,845,6837,1,DEEPSEEK_V4_FLASH__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14774,710,15484,1,DEEPSEEK_V4_FLASH__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,19526,1075,20601,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,12193,1570,13763,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14050,874,14924,1,DEEPSEEK_V4_FLASH__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7693,1278,8971,1,DEEPSEEK_V4_FLASH__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,12448,1321,13769,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12527,1017,13544,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,12126,1843,13969,1,DEEPSEEK_V4_FLASH__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10580,943,11523,1,DEEPSEEK_V4_FLASH__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,11942,2038,13980,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,15133,746,15879,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,10437,720,11157,1,DEEPSEEK_V4_FLASH__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,29574,764,30338,1,DEEPSEEK_V4_FLASH__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,33093,687,33780,1,DEEPSEEK_V4_FLASH__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,32898,1462,34360,1,DEEPSEEK_V4_FLASH__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,20043,859,20902,1,DEEPSEEK_V4_FLASH__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,20967,924,21891,1,DEEPSEEK_V4_FLASH__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,29495,545,30040,1,DEEPSEEK_V4_FLASH__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,29097,781,29878,1,DEEPSEEK_V4_FLASH__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,30990,1087,32077,1,DEEPSEEK_V4_FLASH__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,11401,585,11986,1,DEEPSEEK_V4_FLASH__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,16913,1423,18336,1,DEEPSEEK_V4_FLASH__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,12629,817,13446,1,DEEPSEEK_V4_FLASH__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,12016,791,12807,1,DEEPSEEK_V4_FLASH__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,18713,572,19285,1,DEEPSEEK_V4_FLASH__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,24147,1224,25371,1,DEEPSEEK_V4_FLASH__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,22193,779,22972,1,DEEPSEEK_V4_FLASH__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,22703,1340,24043,1,DEEPSEEK_V4_FLASH__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,8549,980,9529,1,DEEPSEEK_V4_FLASH__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,9117,1201,10318,1,DEEPSEEK_V4_FLASH__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,12652,755,13407,1,DEEPSEEK_V4_FLASH__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,10312,2178,12490,1,DEEPSEEK_V4_FLASH__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,23270,867,24137,1,DEEPSEEK_V4_FLASH__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,15883,822,16705,1,DEEPSEEK_V4_FLASH__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,18011,1206,19217,1,DEEPSEEK_V4_FLASH__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,20142,645,20787,1,DEEPSEEK_V4_FLASH__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,11758,964,12722,1,DEEPSEEK_V4_FLASH__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,9864,701,10565,1,DEEPSEEK_V4_FLASH__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,8422,1365,9787,1,DEEPSEEK_V4_FLASH__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,15447,601,16048,1,DEEPSEEK_V4_FLASH__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,10392,673,11065,1,DEEPSEEK_V4_FLASH__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,12014,844,12858,1,DEEPSEEK_V4_FLASH__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,12676,1290,13966,1,DEEPSEEK_V4_FLASH__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,11021,1433,12454,1,DEEPSEEK_V4_FLASH__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,34222,473,34695,1,DEEPSEEK_V4_FLASH__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,32735,881,33616,1,DEEPSEEK_V4_FLASH__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,18379,709,19088,1,DEEPSEEK_V4_FLASH__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,17700,603,18303,1,DEEPSEEK_V4_FLASH__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,80298,517,80815,1,DEEPSEEK_V4_FLASH__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,53711,767,54478,1,DEEPSEEK_V4_FLASH__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,61142,1797,62939,1,DEEPSEEK_V4_FLASH__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,59893,1034,60927,1,DEEPSEEK_V4_FLASH__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,30175,1286,31461,1,DEEPSEEK_V4_FLASH__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,18822,1068,19890,1,DEEPSEEK_V4_FLASH__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,36683,1190,37873,1,DEEPSEEK_V4_FLASH__T03_R01_C03_A02.judgment.json
T03_R01_C03_A03,ok,28171,829,29000,1,DEEPSEEK_V4_FLASH__T03_R01_C03_A03.judgment.json
T03_R02_C01,ok,37232,1191,38423,1,DEEPSEEK_V4_FLASH__T03_R02_C01.judgment.json
T03_R02_C01_A01,ok,38762,669,39431,1,DEEPSEEK_V4_FLASH__T03_R02_C01_A01.judgment.json
T03_R02_C01_A02,ok,39712,552,40264,1,DEEPSEEK_V4_FLASH__T03_R02_C01_A02.judgment.json
T03_R02_C01_A03,ok,35700,861,36561,1,DEEPSEEK_V4_FLASH__T03_R02_C01_A03.judgment.json
T03_R02_C02,ok,13477,1165,14642,1,DEEPSEEK_V4_FLASH__T03_R02_C02.judgment.json
T03_R02_C02_A01,ok,39238,1023,40261,1,DEEPSEEK_V4_FLASH__T03_R02_C02_A01.judgment.json
T03_R02_C02_A02,ok,27106,1858,28964,1,DEEPSEEK_V4_FLASH__T03_R02_C02_A02.judgment.json
T03_R02_C02_A03,ok,13922,642,14564,1,DEEPSEEK_V4_FLASH__T03_R02_C02_A03.judgment.json
T03_R02_C03,ok,13733,945,14678,1,DEEPSEEK_V4_FLASH__T03_R02_C03.judgment.json
T03_R02_C03_A01,ok,10993,940,11933,1,DEEPSEEK_V4_FLASH__T03_R02_C03_A01.judgment.json
T03_R02_C03_A02,ok,12561,1560,14121,1,DEEPSEEK_V4_FLASH__T03_R02_C03_A02.judgment.json
T03_R02_C03_A03,ok,9614,1109,10723,1,DEEPSEEK_V4_FLASH__T03_R02_C03_A03.judgment.json
T04_R01_C01,ok,12972,461,13433,1,DEEPSEEK_V4_FLASH__T04_R01_C01.judgment.json
T04_R01_C01_A01,ok,13390,1586,14976,1,DEEPSEEK_V4_FLASH__T04_R01_C01_A01.judgment.json
T04_R01_C01_A02,ok,13609,864,14473,1,DEEPSEEK_V4_FLASH__T04_R01_C01_A02.judgment.json
