task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,9560,963,10523,1,MIMO_V2_5_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,11233,1620,12853,1,MIMO_V2_5_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,10011,906,10917,1,MIMO_V2_5_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5764,1098,6862,1,MIMO_V2_5_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,17218,178,17396,1,MIMO_V2_5_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,11713,1040,12753,1,MIMO_V2_5_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14071,1425,15496,1,MIMO_V2_5_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14540,616,15156,1,MIMO_V2_5_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7285,822,8107,1,MIMO_V2_5_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,10022,899,10921,1,MIMO_V2_5_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12362,537,12899,1,MIMO_V2_5_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,14575,1157,15732,1,MIMO_V2_5_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,11311,1106,12417,1,MIMO_V2_5_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,10049,1948,11997,1,MIMO_V2_5_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,6768,1014,7782,1,MIMO_V2_5_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,9454,1248,10702,1,MIMO_V2_5_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,21995,873,22868,1,MIMO_V2_5_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,18685,910,19595,1,MIMO_V2_5_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,20575,2089,22664,1,MIMO_V2_5_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,23908,1350,25258,1,MIMO_V2_5_PRO__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,10349,663,11012,1,MIMO_V2_5_PRO__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,15443,687,16130,1,MIMO_V2_5_PRO__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,16705,1293,17998,1,MIMO_V2_5_PRO__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,10626,1045,11671,1,MIMO_V2_5_PRO__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,11095,864,11959,1,MIMO_V2_5_PRO__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,13445,1667,15112,1,MIMO_V2_5_PRO__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,11581,787,12368,1,MIMO_V2_5_PRO__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,10861,1346,12207,1,MIMO_V2_5_PRO__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,24774,895,25669,1,MIMO_V2_5_PRO__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,15420,592,16012,1,MIMO_V2_5_PRO__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,18157,1490,19647,1,MIMO_V2_5_PRO__T02_R01_C02_A02.judgment.json
