task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,5825,812,6637,1,MIMO_V2_5__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,11492,3016,14508,1,MIMO_V2_5__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,5853,1056,6909,1,MIMO_V2_5__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,9025,1078,10103,1,MIMO_V2_5__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,10272,701,10973,1,MIMO_V2_5__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,12384,938,13322,1,MIMO_V2_5__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,9904,1495,11399,1,MIMO_V2_5__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,12544,1153,13697,1,MIMO_V2_5__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5576,1057,6633,1,MIMO_V2_5__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,7585,962,8547,1,MIMO_V2_5__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,7294,2880,10174,1,MIMO_V2_5__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,4899,817,5716,1,MIMO_V2_5__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,9950,1031,10981,1,MIMO_V2_5__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,10816,2460,13276,1,MIMO_V2_5__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,7596,929,8525,1,MIMO_V2_5__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,6019,813,6832,1,MIMO_V2_5__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,10687,747,11434,1,MIMO_V2_5__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,16277,1023,17300,1,MIMO_V2_5__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,20475,1678,22153,1,MIMO_V2_5__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,18636,977,19613,1,MIMO_V2_5__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,9765,1083,10848,1,MIMO_V2_5__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,9484,1181,10665,1,MIMO_V2_5__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,22309,1090,23399,1,MIMO_V2_5__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,13828,1056,14884,1,MIMO_V2_5__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,7892,1283,9175,1,MIMO_V2_5__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,9957,3999,13956,1,MIMO_V2_5__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,11085,745,11830,1,MIMO_V2_5__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,9716,1498,11214,1,MIMO_V2_5__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,18924,1021,19945,1,MIMO_V2_5__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,16187,1058,17245,1,MIMO_V2_5__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,14952,1928,16880,1,MIMO_V2_5__T02_R01_C02_A02.judgment.json
