task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,8575,629,9204,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,6527,638,7165,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,5101,888,5989,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,8995,709,9704,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,16493,665,17158,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,14072,1018,15090,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,13031,931,13962,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14623,813,15436,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,6108,483,6591,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,10022,721,10743,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,6171,804,6975,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,7878,744,8622,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,11873,539,12412,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,11917,872,12789,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,15006,797,15803,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,14123,663,14786,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,27191,745,27936,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,23679,702,24381,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,0,631,631,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,22597,1101,23698,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,22992,630,23622,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,20044,654,20698,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,21512,661,22173,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,21818,687,22505,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,14081,696,14777,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,14094,645,14739,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,14933,605,15538,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,15736,770,16506,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,27447,477,27924,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,19170,738,19908,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,0,619,619,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,21673,751,22424,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,7408,600,8008,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,11231,639,11870,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,12780,604,13384,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,11560,838,12398,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,15478,714,16192,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,13459,668,14127,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,10079,585,10664,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,14652,720,15372,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,8857,627,9484,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,8847,672,9519,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,7740,958,8698,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,14003,690,14693,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,11904,605,12509,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,7910,601,8511,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,9694,641,10335,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,9316,528,9844,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,0,623,623,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,27954,713,28667,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,16876,644,17520,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,16498,576,17074,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,44957,645,45602,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,0,754,754,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,0,731,731,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,56355,660,57015,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,31390,571,31961,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,18255,729,18984,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,28139,665,28804,1,MIMO_V2_5_PRO_MARK_DEFENSE__T03_R01_C03_A02.judgment.json
