task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,0,0,0,0,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02.judgment.json
