task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,4683,650,5333,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,4697,710,5407,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,4984,591,5575,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,1564,618,2182,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,9636,637,10273,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,16117,633,16750,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,12078,1405,13483,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14098,801,14899,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5185,732,5917,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,7980,671,8651,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,11616,637,12253,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,5343,616,5959,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,8097,679,8776,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,13406,857,14263,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,15337,666,16003,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,5424,563,5987,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,14385,521,14906,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,21131,1011,22142,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,20729,879,21608,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,21934,791,22725,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,14874,629,15503,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,9581,617,10198,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,16059,770,16829,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,17604,759,18363,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,11244,603,11847,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,13544,745,14289,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,10194,613,10807,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,13358,672,14030,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,15534,722,16256,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,15712,672,16384,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,16048,827,16875,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,14154,844,14998,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,7328,724,8052,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,11295,863,12158,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,6733,1046,7779,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,10413,744,11157,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,8847,535,9382,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,12344,652,12996,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,5466,650,6116,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,10062,694,10756,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,10722,671,11393,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,9496,582,10078,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,10981,872,11853,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,8181,621,8802,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,5863,681,6544,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,6375,659,7034,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,4851,634,5485,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,4506,613,5119,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,13932,709,14641,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,11089,859,11948,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,6781,688,7469,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,14165,707,14872,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,40649,752,41401,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,44353,725,45078,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,43327,1248,44575,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,46938,748,47686,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,20668,656,21324,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,32469,723,33192,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,24413,667,25080,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C03_A02.judgment.json
T03_R01_C03_A03,ok,30255,1016,31271,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R01_C03_A03.judgment.json
T03_R02_C01,ok,11616,577,12193,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C01.judgment.json
T03_R02_C01_A01,ok,13424,636,14060,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C01_A01.judgment.json
T03_R02_C01_A02,ok,12098,754,12852,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C01_A02.judgment.json
T03_R02_C01_A03,ok,18173,633,18806,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C01_A03.judgment.json
T03_R02_C02,ok,18914,473,19387,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C02.judgment.json
T03_R02_C02_A01,ok,12700,624,13324,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C02_A01.judgment.json
T03_R02_C02_A02,ok,8312,766,9078,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C02_A02.judgment.json
T03_R02_C02_A03,ok,8039,787,8826,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C02_A03.judgment.json
T03_R02_C03,ok,7400,609,8009,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C03.judgment.json
T03_R02_C03_A01,ok,8452,740,9192,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C03_A01.judgment.json
T03_R02_C03_A02,ok,8560,581,9141,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C03_A02.judgment.json
T03_R02_C03_A03,ok,7944,582,8526,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T03_R02_C03_A03.judgment.json
T04_R01_C01,ok,4611,617,5228,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C01.judgment.json
T04_R01_C01_A01,ok,8727,622,9349,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C01_A01.judgment.json
T04_R01_C01_A02,ok,6485,846,7331,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C01_A02.judgment.json
T04_R01_C01_A03,ok,5377,637,6014,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C01_A03.judgment.json
T04_R01_C02,ok,8223,552,8775,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C02.judgment.json
T04_R01_C02_A01,ok,8993,662,9655,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C02_A01.judgment.json
T04_R01_C02_A02,ok,11045,1165,12210,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C02_A02.judgment.json
T04_R01_C02_A03,ok,10963,760,11723,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C02_A03.judgment.json
T04_R01_C03,ok,5467,636,6103,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C03.judgment.json
T04_R01_C03_A01,ok,8770,695,9465,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C03_A01.judgment.json
T04_R01_C03_A02,ok,4993,671,5664,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C03_A02.judgment.json
T04_R01_C03_A03,ok,7880,625,8505,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R01_C03_A03.judgment.json
T04_R02_C01,ok,9228,695,9923,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C01.judgment.json
T04_R02_C01_A01,ok,6868,582,7450,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C01_A01.judgment.json
T04_R02_C01_A02,ok,7823,689,8512,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C01_A02.judgment.json
T04_R02_C01_A03,ok,7334,636,7970,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C01_A03.judgment.json
T04_R02_C02,ok,9538,621,10159,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C02.judgment.json
T04_R02_C02_A01,ok,8303,667,8970,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C02_A01.judgment.json
T04_R02_C02_A02,ok,11010,651,11661,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C02_A02.judgment.json
T04_R02_C02_A03,ok,11550,785,12335,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C02_A03.judgment.json
T04_R02_C03,ok,11162,603,11765,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C03.judgment.json
T04_R02_C03_A01,ok,6603,752,7355,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C03_A01.judgment.json
T04_R02_C03_A02,ok,8212,795,9007,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C03_A02.judgment.json
T04_R02_C03_A03,ok,8388,756,9144,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T04_R02_C03_A03.judgment.json
T05_R01_C01,ok,20488,700,21188,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C01.judgment.json
T05_R01_C01_A01,ok,21230,1097,22327,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C01_A01.judgment.json
T05_R01_C01_A02,ok,21007,647,21654,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C01_A02.judgment.json
T05_R01_C01_A03,ok,12568,506,13074,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C01_A03.judgment.json
T05_R01_C02,ok,28113,488,28601,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C02.judgment.json
T05_R01_C02_A01,ok,28171,778,28949,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C02_A01.judgment.json
T05_R01_C02_A02,ok,29044,528,29572,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C02_A02.judgment.json
T05_R01_C02_A03,ok,26017,479,26496,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C02_A03.judgment.json
T05_R01_C03,ok,4517,621,5138,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C03.judgment.json
T05_R01_C03_A01,ok,3706,708,4414,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C03_A01.judgment.json
T05_R01_C03_A02,ok,4934,693,5627,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C03_A02.judgment.json
T05_R01_C03_A03,ok,4312,781,5093,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R01_C03_A03.judgment.json
T05_R02_C01,ok,11915,439,12354,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R02_C01.judgment.json
T05_R02_C01_A01,ok,5106,609,5715,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R02_C01_A01.judgment.json
T05_R02_C01_A02,ok,15444,424,15868,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R02_C01_A02.judgment.json
T05_R02_C01_A03,ok,5753,546,6299,1,MIMO_V2_5_PRO_PROMPT_DEFENSE__T05_R02_C01_A03.judgment.json
