task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,9776,895,10671,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,7814,826,8640,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6246,2871,9117,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,10334,865,11199,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,18273,935,19208,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,15639,1690,17329,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14734,1316,16050,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,16346,1177,17523,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7201,921,8122,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,11483,1017,12500,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,7280,1112,8392,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,8974,1092,10066,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,13804,1025,14829,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,13516,2627,16143,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,16972,1468,18440,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,16075,973,17048,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,30813,1815,32628,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,25985,1130,27115,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,25258,1095,26353,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,25073,1723,26796,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,24796,949,25745,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,22270,1221,23491,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,23847,1726,25573,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,24651,745,25396,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,15701,1282,16983,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,15912,1356,17268,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,16567,1382,17949,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,17380,946,18326,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,30988,1069,32057,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,21217,3408,24625,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,24454,1146,25600,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,23898,3757,27655,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,8681,1171,9852,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,12638,732,13370,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,14302,1240,15542,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,13080,1627,14707,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,17167,1125,18292,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,15435,1321,16756,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,11426,887,12313,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,16553,736,17289,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,10055,678,10733,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R02_C02.judgment.json
