task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,6129,1272,7401,1,MIMO_V2_5__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,12616,829,13445,1,MIMO_V2_5__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6171,1355,7526,1,MIMO_V2_5__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,10136,1050,11186,1,MIMO_V2_5__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,10933,976,11909,1,MIMO_V2_5__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,13336,705,14041,1,MIMO_V2_5__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,10775,740,11515,1,MIMO_V2_5__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,13627,1159,14786,1,MIMO_V2_5__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5864,1443,7307,1,MIMO_V2_5__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,8205,1039,9244,1,MIMO_V2_5__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,7772,1251,9023,1,MIMO_V2_5__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,5248,938,6186,1,MIMO_V2_5__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,10693,1120,11813,1,MIMO_V2_5__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,10996,1049,12045,1,MIMO_V2_5__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,8108,1117,9225,1,MIMO_V2_5__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,6423,666,7089,1,MIMO_V2_5__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,11518,1215,12733,1,MIMO_V2_5__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,17473,1119,18592,1,MIMO_V2_5__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,22988,1194,24182,1,MIMO_V2_5__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,20435,1177,21612,1,MIMO_V2_5__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,10241,706,10947,1,MIMO_V2_5__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,10119,1429,11548,1,MIMO_V2_5__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,24998,830,25828,1,MIMO_V2_5__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,15089,997,16086,1,MIMO_V2_5__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,8312,1246,9558,1,MIMO_V2_5__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,10465,1303,11768,1,MIMO_V2_5__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,11807,760,12567,1,MIMO_V2_5__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,10343,1275,11618,1,MIMO_V2_5__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,21748,637,22385,1,MIMO_V2_5__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,18152,1202,19354,1,MIMO_V2_5__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,16057,1285,17342,1,MIMO_V2_5__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,30012,816,30828,1,MIMO_V2_5__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,6324,764,7088,1,MIMO_V2_5__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,10352,820,11172,1,MIMO_V2_5__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,7475,1004,8479,1,MIMO_V2_5__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,5836,1208,7044,1,MIMO_V2_5__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,14245,1129,15374,1,MIMO_V2_5__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,9910,1099,11009,1,MIMO_V2_5__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,5724,1092,6816,1,MIMO_V2_5__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,11675,1080,12755,1,MIMO_V2_5__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,10912,1269,12181,1,MIMO_V2_5__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,11241,1231,12472,1,MIMO_V2_5__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,13237,2701,15938,1,MIMO_V2_5__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,9066,1176,10242,1,MIMO_V2_5__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,11203,1299,12502,1,MIMO_V2_5__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,7436,1295,8731,1,MIMO_V2_5__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,5708,1371,7079,1,MIMO_V2_5__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,5885,1127,7012,1,MIMO_V2_5__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,13675,1075,14750,1,MIMO_V2_5__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,21411,1326,22737,1,MIMO_V2_5__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,11787,769,12556,1,MIMO_V2_5__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,13353,1129,14482,1,MIMO_V2_5__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,31009,953,31962,1,MIMO_V2_5__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,51124,1643,52767,1,MIMO_V2_5__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,34436,1541,35977,1,MIMO_V2_5__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,33708,2276,35984,1,MIMO_V2_5__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,10610,1235,11845,1,MIMO_V2_5__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,14292,1999,16291,1,MIMO_V2_5__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,10081,1254,11335,1,MIMO_V2_5__T03_R01_C03_A02.judgment.json
T03_R01_C03_A03,ok,11718,750,12468,1,MIMO_V2_5__T03_R01_C03_A03.judgment.json
T03_R02_C01,ok,9011,1254,10265,1,MIMO_V2_5__T03_R02_C01.judgment.json
T03_R02_C01_A01,ok,30746,1469,32215,1,MIMO_V2_5__T03_R02_C01_A01.judgment.json
T03_R02_C01_A02,ok,8279,922,9201,1,MIMO_V2_5__T03_R02_C01_A02.judgment.json
T03_R02_C01_A03,ok,30351,885,31236,1,MIMO_V2_5__T03_R02_C01_A03.judgment.json
T03_R02_C02,ok,20697,551,21248,1,MIMO_V2_5__T03_R02_C02.judgment.json
T03_R02_C02_A01,ok,35625,987,36612,1,MIMO_V2_5__T03_R02_C02_A01.judgment.json
T03_R02_C02_A02,ok,10392,1526,11918,1,MIMO_V2_5__T03_R02_C02_A02.judgment.json
T03_R02_C02_A03,ok,32275,698,32973,1,MIMO_V2_5__T03_R02_C02_A03.judgment.json
T03_R02_C03,ok,8600,1106,9706,1,MIMO_V2_5__T03_R02_C03.judgment.json
T03_R02_C03_A01,ok,18846,861,19707,1,MIMO_V2_5__T03_R02_C03_A01.judgment.json
T03_R02_C03_A02,ok,7457,1065,8522,1,MIMO_V2_5__T03_R02_C03_A02.judgment.json
T03_R02_C03_A03,ok,8002,1386,9388,1,MIMO_V2_5__T03_R02_C03_A03.judgment.json
T04_R01_C01,ok,8142,1286,9428,1,MIMO_V2_5__T04_R01_C01.judgment.json
T04_R01_C01_A01,ok,10369,1381,11750,1,MIMO_V2_5__T04_R01_C01_A01.judgment.json
T04_R01_C01_A02,ok,9209,744,9953,1,MIMO_V2_5__T04_R01_C01_A02.judgment.json
T04_R01_C01_A03,ok,5516,1049,6565,1,MIMO_V2_5__T04_R01_C01_A03.judgment.json
T04_R01_C02,ok,10324,864,11188,1,MIMO_V2_5__T04_R01_C02.judgment.json
T04_R01_C02_A01,ok,10145,1156,11301,1,MIMO_V2_5__T04_R01_C02_A01.judgment.json
T04_R01_C02_A02,ok,9170,1758,10928,1,MIMO_V2_5__T04_R01_C02_A02.judgment.json
T04_R01_C02_A03,ok,9980,1144,11124,1,MIMO_V2_5__T04_R01_C02_A03.judgment.json
T04_R01_C03,ok,8409,1230,9639,1,MIMO_V2_5__T04_R01_C03.judgment.json
T04_R01_C03_A01,ok,9986,878,10864,1,MIMO_V2_5__T04_R01_C03_A01.judgment.json
