task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,6047,733,6780,1,DEEPSEEK_V4_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,11255,1238,12493,1,DEEPSEEK_V4_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,9636,801,10437,1,DEEPSEEK_V4_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,7401,754,8155,1,DEEPSEEK_V4_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14029,1032,15061,1,DEEPSEEK_V4_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,19422,816,20238,1,DEEPSEEK_V4_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14278,1657,15935,1,DEEPSEEK_V4_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14559,968,15527,1,DEEPSEEK_V4_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,10263,528,10791,1,DEEPSEEK_V4_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,11086,1011,12097,1,DEEPSEEK_V4_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,10731,1416,12147,1,DEEPSEEK_V4_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,9518,1026,10544,1,DEEPSEEK_V4_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,13758,842,14600,1,DEEPSEEK_V4_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,16609,1822,18431,1,DEEPSEEK_V4_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,13227,1174,14401,1,DEEPSEEK_V4_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,23269,1150,24419,1,DEEPSEEK_V4_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,27143,1174,28317,1,DEEPSEEK_V4_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,27992,1567,29559,1,DEEPSEEK_V4_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,32335,1233,33568,1,DEEPSEEK_V4_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,35981,1173,37154,1,DEEPSEEK_V4_PRO__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,23925,1113,25038,1,DEEPSEEK_V4_PRO__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,23221,1182,24403,1,DEEPSEEK_V4_PRO__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,26091,1352,27443,1,DEEPSEEK_V4_PRO__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,24027,1021,25048,1,DEEPSEEK_V4_PRO__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,12908,1099,14007,1,DEEPSEEK_V4_PRO__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,29553,1979,31532,1,DEEPSEEK_V4_PRO__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,17094,1281,18375,1,DEEPSEEK_V4_PRO__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,30522,1220,31742,1,DEEPSEEK_V4_PRO__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,14431,855,15286,1,DEEPSEEK_V4_PRO__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,26188,1276,27464,1,DEEPSEEK_V4_PRO__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,17441,1862,19303,1,DEEPSEEK_V4_PRO__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,19783,6126,25909,1,DEEPSEEK_V4_PRO__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,12332,893,13225,1,DEEPSEEK_V4_PRO__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,12022,1204,13226,1,DEEPSEEK_V4_PRO__T02_R01_C03_A01.judgment.json
T02_R01_C03_A02,ok,12498,2554,15052,1,DEEPSEEK_V4_PRO__T02_R01_C03_A02.judgment.json
T02_R01_C03_A03,ok,25040,3505,28545,1,DEEPSEEK_V4_PRO__T02_R01_C03_A03.judgment.json
T02_R02_C01,ok,20616,757,21373,1,DEEPSEEK_V4_PRO__T02_R02_C01.judgment.json
T02_R02_C01_A01,ok,21991,2065,24056,1,DEEPSEEK_V4_PRO__T02_R02_C01_A01.judgment.json
T02_R02_C01_A02,ok,16948,1311,18259,1,DEEPSEEK_V4_PRO__T02_R02_C01_A02.judgment.json
T02_R02_C01_A03,ok,19462,1426,20888,1,DEEPSEEK_V4_PRO__T02_R02_C01_A03.judgment.json
T02_R02_C02,ok,12691,838,13529,1,DEEPSEEK_V4_PRO__T02_R02_C02.judgment.json
T02_R02_C02_A01,ok,14736,787,15523,1,DEEPSEEK_V4_PRO__T02_R02_C02_A01.judgment.json
T02_R02_C02_A02,ok,10968,1282,12250,1,DEEPSEEK_V4_PRO__T02_R02_C02_A02.judgment.json
T02_R02_C02_A03,ok,10824,1418,12242,1,DEEPSEEK_V4_PRO__T02_R02_C02_A03.judgment.json
T02_R02_C03,ok,11244,980,12224,1,DEEPSEEK_V4_PRO__T02_R02_C03.judgment.json
T02_R02_C03_A01,ok,14284,1375,15659,1,DEEPSEEK_V4_PRO__T02_R02_C03_A01.judgment.json
T02_R02_C03_A02,ok,11440,2214,13654,1,DEEPSEEK_V4_PRO__T02_R02_C03_A02.judgment.json
T02_R02_C03_A03,ok,9352,937,10289,1,DEEPSEEK_V4_PRO__T02_R02_C03_A03.judgment.json
T03_R01_C01,ok,18824,1354,20178,1,DEEPSEEK_V4_PRO__T03_R01_C01.judgment.json
T03_R01_C01_A01,ok,32199,1709,33908,1,DEEPSEEK_V4_PRO__T03_R01_C01_A01.judgment.json
T03_R01_C01_A02,ok,18651,1107,19758,1,DEEPSEEK_V4_PRO__T03_R01_C01_A02.judgment.json
T03_R01_C01_A03,ok,58049,970,59019,1,DEEPSEEK_V4_PRO__T03_R01_C01_A03.judgment.json
T03_R01_C02,ok,49728,1432,51160,1,DEEPSEEK_V4_PRO__T03_R01_C02.judgment.json
T03_R01_C02_A01,ok,49315,1441,50756,1,DEEPSEEK_V4_PRO__T03_R01_C02_A01.judgment.json
T03_R01_C02_A02,ok,71176,1013,72189,1,DEEPSEEK_V4_PRO__T03_R01_C02_A02.judgment.json
T03_R01_C02_A03,ok,52222,994,53216,1,DEEPSEEK_V4_PRO__T03_R01_C02_A03.judgment.json
T03_R01_C03,ok,26165,1217,27382,1,DEEPSEEK_V4_PRO__T03_R01_C03.judgment.json
T03_R01_C03_A01,ok,28697,970,29667,1,DEEPSEEK_V4_PRO__T03_R01_C03_A01.judgment.json
T03_R01_C03_A02,ok,28516,1723,30239,1,DEEPSEEK_V4_PRO__T03_R01_C03_A02.judgment.json
T03_R01_C03_A03,ok,40236,935,41171,1,DEEPSEEK_V4_PRO__T03_R01_C03_A03.judgment.json
T03_R02_C01,ok,27557,630,28187,1,DEEPSEEK_V4_PRO__T03_R02_C01.judgment.json
T03_R02_C01_A01,ok,32053,1141,33194,1,DEEPSEEK_V4_PRO__T03_R02_C01_A01.judgment.json
T03_R02_C01_A02,ok,28133,1291,29424,1,DEEPSEEK_V4_PRO__T03_R02_C01_A02.judgment.json
T03_R02_C01_A03,ok,27536,1040,28576,1,DEEPSEEK_V4_PRO__T03_R02_C01_A03.judgment.json
T03_R02_C02,ok,12420,681,13101,1,DEEPSEEK_V4_PRO__T03_R02_C02.judgment.json
T03_R02_C02_A01,ok,22926,1696,24622,1,DEEPSEEK_V4_PRO__T03_R02_C02_A01.judgment.json
T03_R02_C02_A02,ok,21943,1106,23049,1,DEEPSEEK_V4_PRO__T03_R02_C02_A02.judgment.json
T03_R02_C02_A03,ok,32954,769,33723,1,DEEPSEEK_V4_PRO__T03_R02_C02_A03.judgment.json
T03_R02_C03,ok,28419,1172,29591,1,DEEPSEEK_V4_PRO__T03_R02_C03.judgment.json
T03_R02_C03_A01,ok,12575,1350,13925,1,DEEPSEEK_V4_PRO__T03_R02_C03_A01.judgment.json
T03_R02_C03_A02,ok,9830,2541,12371,1,DEEPSEEK_V4_PRO__T03_R02_C03_A02.judgment.json
T03_R02_C03_A03,ok,31120,1360,32480,1,DEEPSEEK_V4_PRO__T03_R02_C03_A03.judgment.json
T04_R01_C01,ok,10894,1087,11981,1,DEEPSEEK_V4_PRO__T04_R01_C01.judgment.json
T04_R01_C01_A01,ok,13602,826,14428,1,DEEPSEEK_V4_PRO__T04_R01_C01_A01.judgment.json
T04_R01_C01_A02,ok,11079,888,11967,1,DEEPSEEK_V4_PRO__T04_R01_C01_A02.judgment.json
T04_R01_C01_A03,ok,16155,1166,17321,1,DEEPSEEK_V4_PRO__T04_R01_C01_A03.judgment.json
T04_R01_C02,ok,10599,1745,12344,1,DEEPSEEK_V4_PRO__T04_R01_C02.judgment.json
T04_R01_C02_A01,ok,14794,937,15731,1,DEEPSEEK_V4_PRO__T04_R01_C02_A01.judgment.json
T04_R01_C02_A02,ok,12439,2803,15242,1,DEEPSEEK_V4_PRO__T04_R01_C02_A02.judgment.json
T04_R01_C02_A03,ok,16275,825,17100,1,DEEPSEEK_V4_PRO__T04_R01_C02_A03.judgment.json
T04_R01_C03,ok,11505,945,12450,1,DEEPSEEK_V4_PRO__T04_R01_C03.judgment.json
T04_R01_C03_A01,ok,4656,793,5449,1,DEEPSEEK_V4_PRO__T04_R01_C03_A01.judgment.json
T04_R01_C03_A02,ok,9229,1111,10340,1,DEEPSEEK_V4_PRO__T04_R01_C03_A02.judgment.json
T04_R01_C03_A03,ok,9349,1190,10539,1,DEEPSEEK_V4_PRO__T04_R01_C03_A03.judgment.json
T04_R02_C01,ok,11629,789,12418,1,DEEPSEEK_V4_PRO__T04_R02_C01.judgment.json
T04_R02_C01_A01,ok,11225,1245,12470,1,DEEPSEEK_V4_PRO__T04_R02_C01_A01.judgment.json
T04_R02_C01_A02,ok,12567,1824,14391,1,DEEPSEEK_V4_PRO__T04_R02_C01_A02.judgment.json
T04_R02_C01_A03,ok,10127,775,10902,1,DEEPSEEK_V4_PRO__T04_R02_C01_A03.judgment.json
T04_R02_C02,ok,12897,1362,14259,1,DEEPSEEK_V4_PRO__T04_R02_C02.judgment.json
T04_R02_C02_A01,ok,12121,1567,13688,1,DEEPSEEK_V4_PRO__T04_R02_C02_A01.judgment.json
T04_R02_C02_A02,ok,19655,3418,23073,1,DEEPSEEK_V4_PRO__T04_R02_C02_A02.judgment.json
T04_R02_C02_A03,ok,13534,1962,15496,1,DEEPSEEK_V4_PRO__T04_R02_C02_A03.judgment.json
T04_R02_C03,ok,12517,1389,13906,1,DEEPSEEK_V4_PRO__T04_R02_C03.judgment.json
T04_R02_C03_A01,ok,13386,870,14256,1,DEEPSEEK_V4_PRO__T04_R02_C03_A01.judgment.json
T04_R02_C03_A02,ok,9632,865,10497,1,DEEPSEEK_V4_PRO__T04_R02_C03_A02.judgment.json
