task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,10443,1069,11512,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,8006,974,8980,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,6484,995,7479,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,11284,1009,12293,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,19208,423,19631,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,16859,487,17346,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,15592,1254,16846,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,17972,654,18626,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7566,1116,8682,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,12105,887,12992,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,7534,1295,8829,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,10211,622,10833,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,13858,705,14563,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,13565,1036,14601,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,17934,956,18890,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,17303,1046,18349,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,31185,668,31853,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,27684,1069,28753,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,28328,1265,29593,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,25755,1274,27029,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C02_A03.judgment.json
T01_R02_C03,ok,26040,1253,27293,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03.judgment.json
T01_R02_C03_A01,ok,23234,1067,24301,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A01.judgment.json
T01_R02_C03_A02,ok,24991,841,25832,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A02.judgment.json
T01_R02_C03_A03,ok,27313,825,28138,1,MIMO_V2_5_PRO_MARK_DEFENSE__T01_R02_C03_A03.judgment.json
T02_R01_C01,ok,17017,862,17879,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01.judgment.json
T02_R01_C01_A01,ok,16463,1606,18069,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A01.judgment.json
T02_R01_C01_A02,ok,18263,1039,19302,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A02.judgment.json
T02_R01_C01_A03,ok,18415,1393,19808,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C01_A03.judgment.json
T02_R01_C02,ok,33416,940,34356,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02.judgment.json
T02_R01_C02_A01,ok,22944,621,23565,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A01.judgment.json
T02_R01_C02_A02,ok,25316,898,26214,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A02.judgment.json
T02_R01_C02_A03,ok,27096,1270,28366,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C02_A03.judgment.json
T02_R01_C03,ok,9137,914,10051,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03.judgment.json
T02_R01_C03_A01,ok,13590,826,14416,1,MIMO_V2_5_PRO_MARK_DEFENSE__T02_R01_C03_A01.judgment.json
