task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,8147,614,8761,1,MIMO_V2_5_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,8966,846,9812,1,MIMO_V2_5_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,8465,1361,9826,1,MIMO_V2_5_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,4942,619,5561,1,MIMO_V2_5_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,14835,679,15514,1,MIMO_V2_5_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,9959,753,10712,1,MIMO_V2_5_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,11805,1156,12961,1,MIMO_V2_5_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,12563,670,13233,1,MIMO_V2_5_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,5906,519,6425,1,MIMO_V2_5_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,8213,927,9140,1,MIMO_V2_5_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,10406,697,11103,1,MIMO_V2_5_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,12091,964,13055,1,MIMO_V2_5_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,9831,655,10486,1,MIMO_V2_5_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,9059,833,9892,1,MIMO_V2_5_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,5699,739,6438,1,MIMO_V2_5_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,8324,775,9099,1,MIMO_V2_5_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,19285,650,19935,1,MIMO_V2_5_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,16142,746,16888,1,MIMO_V2_5_PRO__T01_R02_C02_A01.judgment.json
