task_id,status,input_tokens,output_tokens,total_tokens,calls,judgment_file
T01_R01_C01,ok,9560,869,10429,1,MIMO_V2_5_PRO__T01_R01_C01.judgment.json
T01_R01_C01_A01,ok,11233,916,12149,1,MIMO_V2_5_PRO__T01_R01_C01_A01.judgment.json
T01_R01_C01_A02,ok,10011,953,10964,1,MIMO_V2_5_PRO__T01_R01_C01_A02.judgment.json
T01_R01_C01_A03,ok,5764,519,6283,1,MIMO_V2_5_PRO__T01_R01_C01_A03.judgment.json
T01_R01_C02,ok,17218,1283,18501,1,MIMO_V2_5_PRO__T01_R01_C02.judgment.json
T01_R01_C02_A01,ok,11713,1097,12810,1,MIMO_V2_5_PRO__T01_R01_C02_A01.judgment.json
T01_R01_C02_A02,ok,14071,1696,15767,1,MIMO_V2_5_PRO__T01_R01_C02_A02.judgment.json
T01_R01_C02_A03,ok,14540,1329,15869,1,MIMO_V2_5_PRO__T01_R01_C02_A03.judgment.json
T01_R01_C03,ok,7285,1234,8519,1,MIMO_V2_5_PRO__T01_R01_C03.judgment.json
T01_R01_C03_A01,ok,10022,1727,11749,1,MIMO_V2_5_PRO__T01_R01_C03_A01.judgment.json
T01_R01_C03_A02,ok,12362,1121,13483,1,MIMO_V2_5_PRO__T01_R01_C03_A02.judgment.json
T01_R01_C03_A03,ok,14575,775,15350,1,MIMO_V2_5_PRO__T01_R01_C03_A03.judgment.json
T01_R02_C01,ok,11311,212,11523,1,MIMO_V2_5_PRO__T01_R02_C01.judgment.json
T01_R02_C01_A01,ok,10049,1314,11363,1,MIMO_V2_5_PRO__T01_R02_C01_A01.judgment.json
T01_R02_C01_A02,ok,6768,1055,7823,1,MIMO_V2_5_PRO__T01_R02_C01_A02.judgment.json
T01_R02_C01_A03,ok,9454,1246,10700,1,MIMO_V2_5_PRO__T01_R02_C01_A03.judgment.json
T01_R02_C02,ok,21995,707,22702,1,MIMO_V2_5_PRO__T01_R02_C02.judgment.json
T01_R02_C02_A01,ok,18685,604,19289,1,MIMO_V2_5_PRO__T01_R02_C02_A01.judgment.json
T01_R02_C02_A02,ok,20575,1631,22206,1,MIMO_V2_5_PRO__T01_R02_C02_A02.judgment.json
T01_R02_C02_A03,ok,23908,1451,25359,1,MIMO_V2_5_PRO__T01_R02_C02_A03.judgment.json
